Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    AAC0FFE2 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         477 number of names

    ordinal hint RVA      name

        497  148 0001ED80 SHGetFileInfo
        498  149 0001ED80 SHGetFileInfoA
        499  14A 0006F080 SHGetFileInfoW
        500  14B 00025A50 SHGetFolderLocation
        501  14C 00256AC0 SHGetFolderPathA
        502  14D 00256AE0 SHGetFolderPathAndSubDirA
        503  14E 000BCE20 SHGetFolderPathAndSubDirW
        504  14F 00020DE0 SHGetFolderPathEx
        505  150 000A2340 SHGetFolderPathW
        506  151 00067DA0 SHGetIDListFromObject
        507  152 002B2AE0 SHGetIconOverlayIndexA
        508  153 002B2B60 SHGetIconOverlayIndexW
        727  154 0004DD30 SHGetImageList
        509  155 000BBAE0 SHGetInstanceExplorer
        510  156 0009CA60 SHGetItemFromDataObject
        511  157 000BE080 SHGetItemFromObject
        512  158 000BBA20 SHGetKnownFolderIDList
        513  159 000BBA00 SHGetKnownFolderItem
        514  15A 000B9A50 SHGetKnownFolderPath
        515  15B 0022A350 SHGetLocalizedName
        516  15C 001068E0 SHGetMalloc
        517  15D 000238D0 SHGetNameFromIDList
        518  15E 0022A500 SHGetNewLinkInfo
        179  15F 0022A500 SHGetNewLinkInfoA
        180  160 0022A620 SHGetNewLinkInfoW
        519  161 00218310 SHGetPathFromIDList
        527  162 00218310 SHGetPathFromIDListA
        528  163 000A3750 SHGetPathFromIDListEx
        529  164 0006A4C0 SHGetPathFromIDListW
        530  165 00095C60 SHGetPropertyStoreForWindow
        531  166 0022A650 SHGetPropertyStoreFromIDList
        532  167 0022A6E0 SHGetPropertyStoreFromParsingName
         98  168 00218430 SHGetRealIDL
        709  169 001AF8C0 SHGetSetFolderCustomSettings
         68  16A 000828A0 SHGetSetSettings
        533  16B 002B3390 SHGetSettings
        534  16C 000B9F90 SHGetSpecialFolderLocation
        535  16D 00256B00 SHGetSpecialFolderPathA
        536  16E 000BB660 SHGetSpecialFolderPathW
        537  16F 000F6BD0 SHGetStockIconInfo
        538  170 000CB750 SHGetTemporaryPropertyForItem
        539  171 00218450 SHGetUnreadMailCountW
        193  172 0027DBE0 SHHandleUpdateImage
